10;User Story;Dashboards - Powerbi ou outra?;13/06/2019 14:06:04;UX\Iteration 1;To do;13/06/2019 14:58:59
10;User Story;Dashboards - Powerbi ou outra?;13/06/2019 14:06:04;UX\Iteration 1;Backlog;13/06/2019 15:02:52
10;User Story;Dashboards - Powerbi ou outra?;13/06/2019 14:06:04;UX\Iteration 1;To do;13/06/2019 15:03:02
10;User Story;Dashboards - Powerbi ou outra?;13/06/2019 14:06:04;UX\Iteration 1;Backlog;26/06/2019 17:43:37
11;Epic;Sustentação;13/06/2019 14:10:25;UX;;13/06/2019 14:10:25
11;Epic;Sustentação;13/06/2019 14:10:25;UX;New;13/06/2019 14:31:41
11;Epic;Sustentação;13/06/2019 14:10:25;UX;Active;13/06/2019 14:31:59
12;User Story;Responsivo - Revisão e Ajustes;13/06/2019 14:11:25;UX\Iteration 1;Backlog;13/06/2019 14:11:25
12;User Story;Responsivo - Revisão e Ajustes;13/06/2019 14:11:25;UX\Iteration 1;To do;13/06/2019 14:58:57
12;User Story;Responsivo - Revisão e Ajustes;13/06/2019 14:11:25;UX\Iteration 1;Backlog;13/06/2019 15:02:51
12;User Story;Responsivo - Revisão e Ajustes;13/06/2019 14:11:25;UX\Iteration 1;To do;13/06/2019 15:03:00
12;User Story;Responsivo - Revisão e Ajustes;13/06/2019 14:11:25;UX\Iteration 1;Backlog;14/06/2019 12:45:32
12;User Story;Responsivo - Revisão e Ajustes;13/06/2019 14:11:25;UX\Iteration 1;To do;17/06/2019 13:34:45
12;User Story;Responsivo - Revisão e Ajustes;13/06/2019 14:11:25;UX\Iteration 1;Backlog;18/06/2019 18:55:11
13;User Story;Acesso UX - Contratos Novos;13/06/2019 14:49:10;UX\Iteration 1;Backlog;13/06/2019 14:49:10
13;User Story;Acesso UX - Contratos Novos;13/06/2019 14:49:10;UX\Iteration 1;To do;13/06/2019 14:53:20
13;User Story;Acesso UX - Contratos Novos;13/06/2019 14:49:10;UX\Iteration 1;Backlog;13/06/2019 15:02:48
13;User Story;Acesso UX - Contratos Novos;13/06/2019 14:49:10;UX\Iteration 1;To do;13/06/2019 15:02:58
13;User Story;Acesso UX - Contratos Novos;13/06/2019 14:49:10;UX\Iteration 1;Development;14/06/2019 13:11:52
13;Bug;Acesso UX - Contratos Novos;13/06/2019 14:49:10;UX\Iteration 1;Resolved;14/06/2019 18:43:59
13;Bug;Acesso UX - Contratos Novos;13/06/2019 14:49:10;UX\Iteration 1;Closed;18/06/2019 18:42:59
14;User Story;Migração de Testes Automatizados para Selenium;13/06/2019 14:59:20;UX\Iteration 1;Backlog;13/06/2019 14:59:20
14;User Story;Migração de Testes Automatizados para Selenium;13/06/2019 14:59:20;UX\Iteration 1;To do;13/06/2019 15:03:05
14;User Story;Migração de Testes Automatizados para Selenium;13/06/2019 14:59:20;UX\Iteration 1;Backlog;14/06/2019 12:33:07
14;User Story;Migração de Testes Automatizados para Selenium;13/06/2019 14:59:20;UX\Iteration 1;Development;14/06/2019 12:46:52
14;User Story;Migração de Testes Automatizados para Selenium;13/06/2019 14:59:20;UX\Iteration 1;Backlog;14/06/2019 12:50:35
14;User Story;Migração de Testes Automatizados para Selenium;13/06/2019 14:59:20;UX\Iteration 1;Development;14/06/2019 12:50:48
14;User Story;Migração de Testes Automatizados para Selenium;13/06/2019 14:59:20;UX\Iteration 1;Closed;01/07/2019 20:32:55
15;User Story;Release 3 - Consumíveis;13/06/2019 15:10:05;UX\Iteration 1;Backlog;13/06/2019 15:10:05
26;User Story;Contadores;13/06/2019 18:57:05;UX\Iteration 1;Backlog;13/06/2019 18:57:05
30;User Story;ChatBot - Implantação na Retirada;14/06/2019 11:52:04;UX\Iteration 1;Backlog;14/06/2019 11:52:04
31;User Story;LiveChat - Implantação no Pré-Faturamento;14/06/2019 11:53:50;UX\Iteration 1;Backlog;14/06/2019 11:53:50
32;User Story;Projeto de API para o SimpressUX.Core;14/06/2019 12:06:20;UX\Iteration 1;Backlog;14/06/2019 12:06:20
32;User Story;Projeto de API para o SimpressUX.Core;14/06/2019 12:06:20;UX\Iteration 1;To do;14/06/2019 12:26:03
32;User Story;Projeto de API para o SimpressUX.Core;14/06/2019 12:06:20;UX\Iteration 1;Development;14/06/2019 12:26:08
32;User Story;Projeto de API para o SimpressUX.Core;14/06/2019 12:06:20;UX\Iteration 1;Closed;01/07/2019 18:07:10
32;User Story;Projeto de API para o SimpressUX.Core;14/06/2019 12:06:20;UX\Iteration 1;Development;03/07/2019 13:24:01
33;User Story;Criação do projeto de testes de unidade para o UX;14/06/2019 12:28:49;UX\Iteration 1;Backlog;14/06/2019 12:28:49
33;User Story;Criação do projeto de testes de unidade para o UX;14/06/2019 12:28:49;UX\Iteration 1;To do;14/06/2019 12:29:06
33;User Story;Criação do projeto de testes de unidade para o UX;14/06/2019 12:28:49;UX\Iteration 1;Development;14/06/2019 12:29:10
33;User Story;Criação do projeto de testes de unidade para o UX;14/06/2019 12:28:49;UX\Iteration 1;Test;14/06/2019 13:33:22
